trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-239.33226687456843,"{0: 16, 1: 5, 2: 3, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-108.76395146084005,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-31.24356574440451,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-163.3934413972203,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-201.7872031975553,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-10.38144654880304,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-42.99744177685992,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-145.04964344294143,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-159.75845961173582,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,10,3.8560369788218516,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,8,-34.99521236573809,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-42.49572764417748,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,2,-155.82805613726418,"{0: 16, 1: 1, 2: 7, 3: 3, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,16,6.024240343669898,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-176.45761388618817,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-31.931438398793727,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-85.6327087549158,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,6,-102.510540478634,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-106.43566601274756,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,5,-23.5041284795047,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-170.22370930203508,"{0: 13, 1: 0, 2: 1, 3: 3, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",20,14,10.20597384888276,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-101.54150214750986,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,6,-109.95031579878287,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",20,12,-78.27788803719568,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 2}",1
6,True,"{'a': 0, 'e': 0}",20,0,-36.17526033259612,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,6,-79.10648868913536,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",20,0,-147.98422222972047,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-130.10789603041684,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",30,0,-102.06038438829005,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
