trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",30,0,-114.46976403978067,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 0}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",25,0,-87.77357888262955,"{0: 14, 1: 1, 2: 10, 3: 0, 4: 0}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",30,0,-222.839791625082,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",25,0,-87.03137810238277,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-92.97031122805215,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,0,-127.78796953750998,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,14,-38.81390805460966,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",20,0,-95.62634495442956,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,0,-76.26761322544377,"{0: 12, 1: 6, 2: 0, 3: 1, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",25,0,-152.9619637485234,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",25,0,-141.18789730915407,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",25,0,-125.08473092304786,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",30,0,-153.42984236393218,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",25,0,-55.3792849949298,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",20,0,-112.86305039741093,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",20,0,-57.038611074562766,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",25,0,-185.0933813290246,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",30,0,-93.68015121166013,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",30,0,-108.20564764986312,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",20,0,-127.61298499200086,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",25,0,-155.7875571733467,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",20,1,-54.602980245263815,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",25,0,-123.86209102171945,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",20,0,-59.38666490195578,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",25,0,-165.8353100345516,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",20,0,-64.4288321000633,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",30,0,-246.47794026590515,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 5}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",25,9,-83.65854450203805,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 1}",1
29,False,"{'a': 0.002, 'e': 0.9455391358903963}",20,0,-36.19924074567151,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.002, 'e': 0.9436499474367985}",30,0,-154.8930259130228,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
31,False,"{'a': 0.002, 'e': 0.9417645335842487}",25,0,-116.19748386462496,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
32,False,"{'a': 0.002, 'e': 0.9398828867910889}",20,0,-106.86855568695688,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
33,False,"{'a': 0.002, 'e': 0.9380049995307295}",25,0,-116.72440727490716,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
34,False,"{'a': 0.002, 'e': 0.9361308642916188}",25,0,-131.29264483042988,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
35,False,"{'a': 0.002, 'e': 0.9342604735772135}",30,0,-212.13097733470403,"{0: 13, 1: 3, 2: 9, 3: 4, 4: 1}",0
36,False,"{'a': 0.002, 'e': 0.9323938199059483}",20,0,-123.94477272553638,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
37,False,"{'a': 0.002, 'e': 0.9305308958112057}",20,0,-113.2085231196662,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
38,False,"{'a': 0.002, 'e': 0.9286716938412872}",25,0,-150.28234120153627,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
39,False,"{'a': 0.002, 'e': 0.9268162065593822}",30,0,-191.66804036899197,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
40,False,"{'a': 0.002, 'e': 0.9249644265435393}",20,0,-43.33108053124232,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
41,False,"{'a': 0.002, 'e': 0.9231163463866358}",20,0,-45.114996459053216,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",20,0,-164.03768033279408,"{0: 5, 1: 2, 2: 10, 3: 3, 4: 0}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",25,0,-141.14191982223937,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",20,0,-107.71525280174662,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
45,False,"{'a': 0.002, 'e': 0.9157608767233256}",20,0,-82.95778973241572,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
46,False,"{'a': 0.002, 'e': 0.9139311852712282}",25,0,-105.12848725177014,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
47,False,"{'a': 0.002, 'e': 0.9121051495450904}",30,0,-72.7894117051788,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
48,False,"{'a': 0.002, 'e': 0.910282762240767}",20,11,-72.70379047457098,"{0: 4, 1: 2, 2: 1, 3: 1, 4: 1}",1
49,False,"{'a': 0.002, 'e': 0.9084640160687062}",35,11,-112.78700355399049,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 2}",1
50,False,"{'a': 0.002, 'e': 0.9066489037539209}",20,0,-102.21078193394179,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
51,False,"{'a': 0.002, 'e': 0.9048374180359595}",30,0,-119.96830734573182,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
52,False,"{'a': 0.002, 'e': 0.9030295516688768}",25,9,-42.12783410415744,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
53,False,"{'a': 0.002, 'e': 0.9012252974212047}",25,0,-146.0215446203296,"{0: 11, 1: 2, 2: 11, 3: 0, 4: 1}",0
54,False,"{'a': 0.002, 'e': 0.899424648075924}",20,0,-93.15076118284632,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.002, 'e': 0.8976275964304349}",25,0,-82.92785676476083,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
56,False,"{'a': 0.002, 'e': 0.8958341352965282}",30,0,-123.80611748903888,"{0: 18, 1: 6, 2: 3, 3: 2, 4: 1}",0
57,False,"{'a': 0.002, 'e': 0.8940442575003572}",30,0,-150.50178666739055,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
58,False,"{'a': 0.002, 'e': 0.8922579558824083}",20,0,-136.1695008941128,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
59,False,"{'a': 0.002, 'e': 0.8904752232974726}",25,0,-73.77740430920402,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
60,False,"{'a': 0.002, 'e': 0.8886960526146174}",20,0,-64.65848517908732,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
61,False,"{'a': 0.002, 'e': 0.8869204367171575}",20,0,-116.78428238147974,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
62,False,"{'a': 0.002, 'e': 0.8851483685026271}",25,0,-200.72825855680904,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
63,False,"{'a': 0.002, 'e': 0.8833798408827509}",20,0,-9.70285353934704,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.002, 'e': 0.8816148467834161}",25,0,-149.22928680525905,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
65,False,"{'a': 0.002, 'e': 0.8798533791446438}",20,0,-129.23227835517517,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
66,False,"{'a': 0.002, 'e': 0.8780954309205613}",20,0,-151.05146408007292,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
67,False,"{'a': 0.002, 'e': 0.8763409950793732}",30,0,-158.85991610711392,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
68,False,"{'a': 0.002, 'e': 0.874590064603334}",25,0,-133.05824279751033,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
69,False,"{'a': 0.002, 'e': 0.8728426324887193}",20,0,-130.34320902133788,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
70,False,"{'a': 0.002, 'e': 0.8710986917457983}",30,0,-165.7422147288637,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
71,False,"{'a': 0.002, 'e': 0.8693582353988059}",20,0,-136.1524923953989,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
72,False,"{'a': 0.002, 'e': 0.867621256485914}",20,0,-119.25068514357991,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
73,False,"{'a': 0.002, 'e': 0.865887748059205}",20,0,-127.0881957443995,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
74,False,"{'a': 0.002, 'e': 0.8641577031846428}",25,0,-140.6518785314702,"{0: 10, 1: 7, 2: 6, 3: 1, 4: 1}",0
75,False,"{'a': 0.002, 'e': 0.8624311149420455}",20,0,-95.46719255691053,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
76,False,"{'a': 0.002, 'e': 0.8607079764250578}",25,0,-76.90747142833467,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
77,False,"{'a': 0.002, 'e': 0.8589882807411234}",20,0,-66.9504147017052,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
78,False,"{'a': 0.002, 'e': 0.8572720210114575}",20,0,-153.36218647420827,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
79,False,"{'a': 0.002, 'e': 0.8555591903710185}",30,12,-63.95987082865224,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 0}",1
80,False,"{'a': 0.002, 'e': 0.8538497819684817}",25,0,-52.707795075734474,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
81,False,"{'a': 0.002, 'e': 0.8521437889662113}",30,0,-170.80472442633445,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
82,False,"{'a': 0.002, 'e': 0.850441204540233}",25,12,-30.849235580366255,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.002, 'e': 0.8487420218802068}",25,0,-229.79724684451995,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
84,False,"{'a': 0.002, 'e': 0.8470462341893996}",20,0,-64.24730159165311,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
85,False,"{'a': 0.002, 'e': 0.8453538346846587}",20,0,-121.96819290932282,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
86,False,"{'a': 0.002, 'e': 0.8436648165963837}",20,0,-215.39356344135976,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
87,False,"{'a': 0.002, 'e': 0.8419791731684999}",20,4,-94.09913918851689,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
88,False,"{'a': 0.002, 'e': 0.8402968976584314}",25,0,-171.09006426912987,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
89,False,"{'a': 0.002, 'e': 0.838617983337074}",25,0,-44.588134911000864,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
90,False,"{'a': 0.002, 'e': 0.8369424234887681}",20,5,-47.73999461845233,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 0}",1
91,False,"{'a': 0.002, 'e': 0.835270211411272}",25,0,-156.41117808711033,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
92,False,"{'a': 0.002, 'e': 0.8336013404157353}",30,0,-117.43924832418939,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
93,False,"{'a': 0.002, 'e': 0.8319358038266718}",20,0,-165.08488454975372,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
94,False,"{'a': 0.002, 'e': 0.8302735949819326}",25,0,-228.286711423376,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 5}",0
95,False,"{'a': 0.002, 'e': 0.8286147072326806}",20,1,-154.60301514826685,"{0: 9, 1: 3, 2: 3, 3: 2, 4: 2}",1
96,False,"{'a': 0.002, 'e': 0.8269591339433623}",20,0,-120.64616884823337,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
97,False,"{'a': 0.002, 'e': 0.8253068684916823}",20,0,-37.356405411805106,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
98,False,"{'a': 0.002, 'e': 0.8236579042685769}",25,0,-128.6840341048013,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
99,False,"{'a': 0.002, 'e': 0.8220122346781865}",20,0,-27.90428225186332,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
100,False,"{'a': 0.002, 'e': 0.8203698531378311}",25,0,-102.43401720222575,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
101,False,"{'a': 0.002, 'e': 0.8187307530779818}",20,4,13.718465255871712,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.002, 'e': 0.8170949279422366}",20,0,-86.21951349057001,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
103,False,"{'a': 0.002, 'e': 0.8154623711872927}",20,0,-42.08454155199733,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
104,False,"{'a': 0.002, 'e': 0.8138330762829207}",20,0,-27.915209538255432,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
105,False,"{'a': 0.002, 'e': 0.812207036711939}",20,0,-20.083042048885492,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
106,False,"{'a': 0.002, 'e': 0.8105842459701871}",20,0,-166.65780755268906,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
107,False,"{'a': 0.002, 'e': 0.8089646975664998}",20,1,-79.5342546404461,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 0}",1
108,False,"{'a': 0.002, 'e': 0.8073483850226815}",20,0,-88.09383298503508,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
109,False,"{'a': 0.002, 'e': 0.8057353018734796}",30,0,-79.72472866230788,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
110,False,"{'a': 0.002, 'e': 0.8041254416665596}",20,14,-2.9042785522707137,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.002, 'e': 0.8025187979624785}",30,0,-114.70234072276206,"{0: 18, 1: 6, 2: 3, 3: 2, 4: 1}",0
112,False,"{'a': 0.002, 'e': 0.8009153643346592}",20,7,-93.89398426276152,"{0: 6, 1: 1, 2: 4, 3: 1, 4: 1}",1
113,False,"{'a': 0.002, 'e': 0.7993151343693651}",30,0,-150.36278022110537,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
114,False,"{'a': 0.002, 'e': 0.7977181016656743}",20,6,-35.52481262588487,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 0}",1
115,False,"{'a': 0.002, 'e': 0.7961242598354538}",25,0,-89.78249488461532,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
116,False,"{'a': 0.002, 'e': 0.794533602503334}",30,0,-142.56025191152938,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 3}",0
117,False,"{'a': 0.002, 'e': 0.7929461233066837}",25,0,-43.52894701330672,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
118,False,"{'a': 0.002, 'e': 0.7913618158955839}",35,23,-22.86153674979256,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.002, 'e': 0.7897806739328027}",25,0,-105.2406717068179,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
120,False,"{'a': 0.002, 'e': 0.7882026910937704}",20,0,-58.434679604241445,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
121,False,"{'a': 0.002, 'e': 0.7866278610665535}",30,0,-45.41960198927964,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
122,False,"{'a': 0.002, 'e': 0.7850561775518295}",25,9,-43.81624742806792,"{0: 11, 1: 2, 2: 1, 3: 2, 4: 0}",1
123,False,"{'a': 0.002, 'e': 0.7834876342628625}",20,0,-15.590997502070813,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
124,False,"{'a': 0.002, 'e': 0.7819222249254772}",20,0,-42.9564471687566,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
125,False,"{'a': 0.002, 'e': 0.7803599432780343}",30,0,-136.19768620028955,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
126,False,"{'a': 0.002, 'e': 0.7788007830714049}",25,0,-139.12158881169887,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
127,False,"{'a': 0.002, 'e': 0.7772447380689461}",20,11,-9.321439247687996,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.002, 'e': 0.775691802046476}",20,3,-27.25204140478126,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
129,False,"{'a': 0.002, 'e': 0.7741419687922484}",25,0,-94.51392134705915,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
130,False,"{'a': 0.002, 'e': 0.772595232106928}",30,16,7.848280069331342,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.002, 'e': 0.7710515858035663}",25,0,-155.13524444269632,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
132,False,"{'a': 0.002, 'e': 0.7695110237075758}",25,0,14.55386582050906,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.002, 'e': 0.7679735396567061}",20,0,-103.25394569076232,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
134,False,"{'a': 0.002, 'e': 0.7664391275010192}",25,0,-105.70435881360457,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",1
135,False,"{'a': 0.002, 'e': 0.764907781102864}",20,0,-55.11416643851641,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
136,False,"{'a': 0.002, 'e': 0.7633794943368531}",20,4,-41.86737426640782,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
137,False,"{'a': 0.002, 'e': 0.7618542610898376}",25,0,-102.69915707585365,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
138,False,"{'a': 0.002, 'e': 0.7603320752608821}",30,0,-24.844582850858366,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
139,False,"{'a': 0.002, 'e': 0.7588129307612413}",25,0,-127.1093983778845,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
140,False,"{'a': 0.002, 'e': 0.7572968215143355}",20,0,-139.92568381046698,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
141,False,"{'a': 0.002, 'e': 0.7557837414557255}",20,0,-27.609957174078943,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
142,False,"{'a': 0.002, 'e': 0.754273684533089}",20,0,-70.4538315067181,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
143,False,"{'a': 0.002, 'e': 0.7527666447061963}",20,0,-34.968891370438946,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
144,False,"{'a': 0.002, 'e': 0.751262615946886}",35,21,2.9997255320351,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
145,False,"{'a': 0.002, 'e': 0.7497615922390413}",25,1,-62.376054676239335,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 1}",1
146,False,"{'a': 0.002, 'e': 0.7482635675785653}",25,0,-55.730279432971365,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
147,False,"{'a': 0.002, 'e': 0.7467685359733571}",25,0,-218.50120698910212,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
148,False,"{'a': 0.002, 'e': 0.7452764914432887}",20,0,-31.1331967762976,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
149,False,"{'a': 0.002, 'e': 0.7437874280201796}",25,11,-118.45448725252905,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 3}",1
150,False,"{'a': 0.002, 'e': 0.7423013397477743}",20,0,-73.68220487158847,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
151,False,"{'a': 0.002, 'e': 0.7408182206817179}",20,0,-123.88946016923651,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
152,False,"{'a': 0.002, 'e': 0.7393380648895319}",30,0,-103.68394919817744,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
153,False,"{'a': 0.002, 'e': 0.7378608664505911}",25,0,-47.4153619838729,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
154,False,"{'a': 0.002, 'e': 0.7363866194561001}",30,17,4.066734707399494,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.002, 'e': 0.7349153180090687}",35,8,-40.435672581363114,"{0: 18, 1: 6, 2: 2, 3: 1, 4: 0}",1
156,False,"{'a': 0.002, 'e': 0.7334469562242892}",20,0,-14.501070025717551,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
157,False,"{'a': 0.002, 'e': 0.7319815282283126}",20,2,-63.07551053211065,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
158,False,"{'a': 0.002, 'e': 0.7305190281594249}",25,9,-1.666530357064505,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.002, 'e': 0.7290594501676237}",25,12,-29.001810103757066,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
160,False,"{'a': 0.002, 'e': 0.7276027884145955}",20,0,-90.43259929876044,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
161,False,"{'a': 0.002, 'e': 0.7261490370736909}",20,0,-33.76591400627309,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
162,False,"{'a': 0.002, 'e': 0.7246981903299029}",25,0,-125.32258548684956,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
163,False,"{'a': 0.002, 'e': 0.7232502423798424}",20,0,-107.04398697068399,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
164,False,"{'a': 0.002, 'e': 0.7218051874317158}",25,9,-39.858245861753566,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
165,False,"{'a': 0.002, 'e': 0.7203630197053014}",25,0,-130.93038150897414,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
166,False,"{'a': 0.002, 'e': 0.7189237334319262}",20,9,-37.465989122938524,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 0}",1
