trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.83120142380736,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-213.1786359649836,"{0: 16, 1: 5, 2: 5, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.04131199047345,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-195.9522788538309,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.54848048305893,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.89897640853368,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.58826104003155,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.7909348498569,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.64881098053328,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-210.96597731303189,"{0: 16, 1: 0, 2: 11, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.10951632855419,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-93.01316641686213,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.49401134204396,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.75442916221019,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.56982511884987,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.76231293315382,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.90995145535456,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,12,-22.69386040630092,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.2154717429206,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-177.0798861711987,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-107.84431380422716,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",30,0,-92.41861819430015,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-151.18936208078637,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-116.22418774264786,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-38.97229881450996,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-82.18613123300798,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-133.14279623585023,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,-93.67240588743074,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-170.0358954119854,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-126.09856445785194,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
